ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry,Industry1,Industry2
782,2014,Neuroscience,Interdisciplinary,NA,NA,NA,NA,Advanced Energy Resources,Administrative Assistant,Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
783,2020,Neuroscience,Interdisciplinary,NA,NA,NA,NA,Sarasota Memorial Hospital,Courtyard Tower Volunteer,Healthcare,Healthcare,Health and Medicine,Health and Medicine
784,2012,Neuroscience,Interdisciplinary,NA,NA,NA,NA,Better Better Better Inc,CEO,Marketing,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
785,2016,Neuroscience,Interdisciplinary,NA,NA,NA,NA,University of Washington - School of Medicine,Graduate Research Assistant,Education,Education,Education,Education
786,2019,Neuroscience,Interdisciplinary,NA,NA,NA,NA,Max Planck Florida Institute for Neuroscience,Postbac Research Fellow,Education,NA,Education,Education
787,2012,Neuroscience,Interdisciplinary,NA,NA,NA,NA,Immutics,Research Associate,Research,NA,STEM,STEM
788,2009,Neuroscience,Interdisciplinary,NA,NA,NA,NA,Pelot's Pharmacy,Per Diem Pharmacist,Pharmaceutical,Pharmaceutical,Health and Medicine,Health and Medicine
789,2016,Neuroscience,Interdisciplinary,Chemistry,Natural Sciences,NA,NA,Unknown,NA,Unknown,NA,Unknown,Other
790,2013,"Theater, Dance and Performance Studies",Humanities,NA,NA,NA,NA,Fuzion Dance,Dancer,Entertainment,Entertainment,Arts and Media,Arts and Media
791,2008,Philosophy,Humanities,NA,NA,NA,NA,Amazon Conservation Team,GIS and Web Development Coordinator,Non Profit,Non Profit,Government and Social Services,Government and Social Services
792,2004,Philosophy,Humanities,NA,NA,NA,NA,"CIRCOR International, Inc.",Legal Intern,Law,Law,Government and Social Services,Government and Social Services
793,2006,Philosophy,Humanities,NA,NA,NA,NA,unknown,"Teacher, elementary",Education,Education,Education,Education
794,2012,Philosophy,Humanities,NA,NA,NA,NA,Wildbright Technology,Software Developer,Information Technology,Information Technology,STEM,STEM
795,2011,Philosophy,Humanities,NA,NA,NA,NA,"Katz, Marshall & Banks LLP",Associate,Law,Law,Government and Social Services,Government and Social Services
796,2015,Philosophy,Humanities,NA,NA,NA,NA,Whole Foods Market,NA,Retail,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
797,2005,Philosophy,Humanities,NA,NA,NA,NA,Environmental Law & Policy Center,Staff Attorney,Law,Law,Government and Social Services,Government and Social Services
798,2011,Philosophy,Humanities,NA,NA,NA,NA,Unknown,NA,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
799,2004,Philosophy,Humanities,NA,NA,NA,NA,University of Chicago,Graduate Student,Education,Education,Education,Education
800,2006,Philosophy,Humanities,NA,NA,NA,NA,Credit Union,Research Analyst,Research,Research,STEM,STEM
801,2007,Philosophy,Humanities,NA,NA,NA,NA,Mazzoni Center,Medical Case Manager,Healthcare,Healthcare,Health and Medicine,Health and Medicine
802,2007,Philosophy,Humanities,NA,NA,NA,NA,Valencia College,Professor,Education,Education,Education,Education
803,2013,Philosophy,Humanities,NA,NA,NA,NA,Solution Skills Inc,Test Prep Tutoring,Education,Education,Education,Education
804,2018,Philosophy,Humanities,NA,NA,NA,NA,"W.W. Norton & Company, Inc.",Editorial Asst. for Political Science Media,Media,NA,Arts and Media,Arts and Media
805,2014,Philosophy,Humanities,NA,NA,NA,NA,Herald Tribune Media,Staff Writer,Media,Media,Arts and Media,Arts and Media
806,2009,Philosophy,Humanities,NA,NA,NA,NA,Family Partnership Center,Parenting Educator,Education,NA,Education,Education
807,2012,Philosophy,Humanities,NA,NA,NA,NA,JobDiva,Lead Copywriter/Technical Communications Officer,Media,NA,Arts and Media,Arts and Media
808,2012,Philosophy,Humanities,NA,NA,NA,NA,Hubbub Coffee,Manager,Food Service,Food Service,"Business, Finance, and Retail","Business, Finance, and Retail"
809,2003,Philosophy,Humanities,NA,NA,NA,NA,University of Toronto,Assistant Professor,Education,Education,Education,Education
810,2011,Economics,Social Sciences,Philosophy,Humanities,NA,NA,The Lewin Group,Consultant,Business Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
811,2012,Humanities,Humanities,Philosophy,Humanities,NA,NA,Battery Park City Authority,Legal intern,Law,Law,Government and Social Services,Government and Social Services
812,2003,Humanities,Humanities,Philosophy,Humanities,NA,NA,unknown,NA,Unknown,NA,Unknown,Other
813,2003,Humanities,Humanities,Philosophy,Humanities,NA,NA,Office of Maryland Attorney General,Assistant Attorney General,Law,Law,Government and Social Services,Government and Social Services
814,2012,Classics,Humanities,Philosophy,Humanities,NA,NA,FMP Consulting,NA,Business Consulting,Business Consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
815,2010,Economics,Social Sciences,Philosophy,Humanities,NA,NA,Morrison & Lee LLC,Privacy Attorney,Law,Law,Government and Social Services,Government and Social Services
816,2005,Philosophy,Humanities,Mathematics,Natural Sciences,NA,NA,Columbia University,Philosophy Professor,Education,Education,Education,Education
817,2015,Music,Humanities,Philosophy,Humanities,NA,NA,Renaissance Jacksonville,Chief Strategist,Education,Education,Education,Education
818,2015,Music,Humanities,Philosophy,Humanities,NA,NA,IMG Academy,SAT / ACT Teacher,Education,Education,Education,Education
819,2008,Political Science,Social Sciences,Philosophy,Humanities,NA,NA,University of Wisconsin-Madison Hospital and Clinics,"Clinical Fellow, Speech-Language Pathologist",Health & Fitness,Health & Fitness,Health and Medicine,Health and Medicine
820,2005,Humanities,Humanities,Philosophy,Humanities,NA,NA,Harvard Divinity School,Associate Professor of Theology,Education,Education,Education,Education
821,2013,Physics,Natural Sciences,NA,NA,NA,NA,Shenzhen Education Bureau,Foreign Language Teacher,Education,Education,Education,Education
822,2006,Physics,Natural Sciences,NA,NA,NA,NA,Synopsys,Application Engineer,Engineering,Engineering,STEM,STEM
823,2007,Physics,Natural Sciences,NA,NA,NA,NA,Old Dominion University,Assistant Professor,Education,Education,Education,Education
824,2010,Physics,Natural Sciences,NA,NA,NA,NA,The University of Texas at Austin,Graduate Research Assistant,Education,Education,Education,Education
825,2002,Physics,Natural Sciences,NA,NA,NA,NA,methownet.com,Network Specialist and Programmer,Software,Software,STEM,STEM
826,2010,Physics,Natural Sciences,NA,NA,NA,NA,NASA,Mission Architect,Architecture,NA,STEM,STEM
827,2013,Physics,Natural Sciences,NA,NA,NA,NA,University of Washington,Teaching Assistant / Research assistant,Education,Education,Education,Education
828,2007,Physics,Natural Sciences,NA,NA,NA,NA,Cornell University,Research Associate,Education,Education,Education,Education
829,2015,Physics,Natural Sciences,NA,NA,NA,NA,Delivery Hero Germany,Software Engineer,Information Technology,Information Technology,STEM,STEM
830,2006,Physics,Natural Sciences,NA,NA,NA,NA,Argelander Institut fuer Astronomie,PhD Candidate,Education,Education,Education,Education
831,2008,Physics,Natural Sciences,NA,NA,NA,NA,Google,Systems Engineer,Information Technology,Information Technology,STEM,STEM
832,2009,Physics,Natural Sciences,Chemistry,Natural Sciences,NA,NA,Collaborative Drug Discovery,NA,Software,Software,STEM,STEM
833,2004,Physics,Natural Sciences,Mathematics,Natural Sciences,NA,NA,Great Bay Community College,Professor,Education,Education,Education,Education
834,2009,Political Science,Social Sciences,NA,NA,NA,NA,Sinapi Law Associates,Associate,Law,NA,Government and Social Services,Government and Social Services
835,2003,Political Science,Social Sciences,NA,NA,NA,NA,West Virginia Universtiy,Assistant Professor of Political Science,Education,Education,Education,Education
836,2018,Political Science,Social Sciences,NA,NA,NA,NA,Husch Blackwell LLP,Client Development Strategist,Law,Law,Government and Social Services,Government and Social Services
837,2011,Political Science,Social Sciences,NA,NA,NA,NA,Gizmodo,Reporter,Media,Media,Arts and Media,Arts and Media
838,2007,Political Science,Social Sciences,NA,NA,NA,NA,Ruane Attorneys at Law,Attorney,Law,Law,Government and Social Services,Government and Social Services
839,2010,Political Science,Social Sciences,NA,NA,NA,NA,Bonefish Grill,server,Food Service,Food Service,"Business, Finance, and Retail","Business, Finance, and Retail"
840,2020,Political Science,Social Sciences,NA,NA,NA,NA,City Year,City Year Americorps Member,Non Profit,NA,Government and Social Services,Government and Social Services
841,2003,Political Science,Social Sciences,NA,NA,NA,NA,HSBC Private Banking,Senior Wealth Planner,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
842,2019,Political Science,Social Sciences,NA,NA,NA,NA,Healthy Gamer,Coach,Healthcare Services,NA,Health and Medicine,Health and Medicine
843,2009,Political Science,Social Sciences,NA,NA,NA,NA,Vinayaka Hospitality,Regional Manager,Hospitality,Hospitality,"Business, Finance, and Retail","Business, Finance, and Retail"
844,2002,Political Science,Social Sciences,NA,NA,NA,NA,US Agency for International Development,Contracting Officer,Government,Government,Government and Social Services,Government and Social Services
845,2016,Political Science,Social Sciences,NA,NA,NA,NA,Barnes Walker,Associate Attorney,Law,Law,Government and Social Services,Government and Social Services
846,2004,Political Science,Social Sciences,NA,NA,NA,NA,U.S. General Services Administration,Business & Industry Specialist,Government,Government,Government and Social Services,Government and Social Services
847,2008,Political Science,Social Sciences,NA,NA,NA,NA,Holland & Knight,Public Affairs Advisor,Law,Law,Government and Social Services,Government and Social Services
848,2003,Political Science,Social Sciences,NA,NA,NA,NA,University of Maine,Assistant Professor - Political Science,Education,Education,Education,Education
849,2003,Political Science,Social Sciences,NA,NA,NA,NA,Realize Bradenton,Community Engagement Coordinator,Non Profit,Non Profit,Government and Social Services,Government and Social Services
850,2006,Political Science,Social Sciences,NA,NA,NA,NA,McCulloch Law PA,Attorney,Law,Law,Government and Social Services,Government and Social Services
851,2014,Political Science,Social Sciences,NA,NA,NA,NA,Authority Marketing Films,Project Producer and Client Liason,Media,Media,Arts and Media,Arts and Media
852,2015,Political Science,Social Sciences,NA,NA,NA,NA,Rosemary Birthing Home,NA,Medical,Medical,Health and Medicine,Health and Medicine
853,2012,Political Science,Social Sciences,NA,NA,NA,NA,Michigan Supreme Court,Judicial Law Clerk,Law,Law,Government and Social Services,Government and Social Services
854,2003,Political Science,Social Sciences,NA,NA,NA,NA,Buchanan Angeli Altschul & Sullivan LLP,Paralegal,Law,Law,Government and Social Services,Government and Social Services
855,2009,Political Science,Social Sciences,NA,NA,NA,NA,Broward County Commission,Chief of Staff,Government,NA,Government and Social Services,Government and Social Services
856,2007,Political Science,Social Sciences,NA,NA,NA,NA,Bloomberg BNA,NA,Law,Law,Government and Social Services,Government and Social Services
857,2020,Political Science,Social Sciences,NA,NA,NA,NA,All Faiths Food Bank,Agency Relations Coordinator,Non Profit,Non Profit,Government and Social Services,Government and Social Services
858,2003,Political Science,Social Sciences,NA,NA,NA,NA,Johnson Controls,System Representative,Information Technology,Information Technology,STEM,STEM
859,2012,Political Science,Social Sciences,NA,NA,NA,NA,Winston & Strawn LLP,Associate,Law,NA,Government and Social Services,Government and Social Services
860,2007,Political Science,Social Sciences,NA,NA,NA,NA,West Virginia University School of Public Health,Assistant Program Director,Education,Education,Education,Education
861,2013,Political Science,Social Sciences,NA,NA,NA,NA,Florida House of Representatives,Legislative Research Assistant,Government,Government,Government and Social Services,Government and Social Services
862,2016,Political Science,Social Sciences,NA,NA,NA,NA,Rollins College,Assoc. Director of Volunteer & Class Engagement,Education,NA,Education,Education
863,2008,Political Science,Social Sciences,NA,NA,NA,NA,Information Staffing Services Inc (State Voices),Data & Target Manager,Human Resources,Human Resources,"Business, Finance, and Retail","Business, Finance, and Retail"
864,2004,Political Science,Social Sciences,NA,NA,NA,NA,George Washington University,NA,Education,NA,Education,Education
865,2003,Political Science,Social Sciences,NA,NA,NA,NA,Independent Weekly,Classifieds Account Executive,Media,NA,Arts and Media,Arts and Media
866,2004,Political Science,Social Sciences,NA,NA,NA,NA,McBreen & Nowack PA,Attorney,Law,Law,Government and Social Services,Government and Social Services
867,2009,Political Science,Social Sciences,NA,NA,NA,NA,Gina DeCrescenzo P.C.,Attorney,Law,Law,Government and Social Services,Government and Social Services
868,2002,Political Science,Social Sciences,NA,NA,NA,NA,Gunster,Attorney in Immigration Practice Group,Attorney,Attorney,Government and Social Services,Government and Social Services
869,2005,Political Science,Social Sciences,NA,NA,NA,NA,"Intermex Wire Transfer, LLC",Treasury Operations Analyst,Financial Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
870,2004,Political Science,Social Sciences,NA,NA,NA,NA,Florida Dept. of Environmental Protection,Program Administrator,Government,Government,Government and Social Services,Government and Social Services
871,2004,Political Science,Social Sciences,NA,NA,NA,NA,The City of New York-Department of City Planning,Director of Governmental Affairs,City/County/State,City/County/State,Government and Social Services,Government and Social Services
872,2018,Political Science,Social Sciences,NA,NA,NA,NA,IMG Academy,Social Studies Teacher,Education,NA,Education,Education
873,2004,Political Science,Social Sciences,NA,NA,NA,NA,U.S. General Services Administration,Director of Innovation,Government,Government,Government and Social Services,Government and Social Services
874,2016,Political Science,Social Sciences,NA,NA,NA,NA,Benchmark Mercant Solutions,Client Relations Manager,Financial Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
875,2004,Political Science,Social Sciences,NA,NA,NA,NA,Hirschen Singer & Epstein LLP,Partner,Law,NA,Government and Social Services,Government and Social Services
876,2020,Political Science,Social Sciences,Economics,Social Sciences,NA,NA,"H New Media, LLC",Legal Assistant,Law,Law,Government and Social Services,Government and Social Services
877,2009,Political Science,Social Sciences,Economics,Social Sciences,NA,NA,University of Virginia,PhD Candidate & Teaching Assistant,Education,Education,Education,Education
878,2003,Political Science,Social Sciences,Economics,Social Sciences,NA,NA,Sylvia Manzanero Law Firm PLLC,Attorney,Law,Law,Government and Social Services,Government and Social Services
